,User_ID,min_purchase_date,max_purchase_date,first_listen_date,last_listen_date,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,1_listen_my,signup_date,signup_my,change_status_my,cnt_07/2020,cnt_08/2020,cnt_09/2020,cnt_10/2020,cnt_11/2020,cnt_12/2020,F_07/2020,F_08/2020,F_09/2020,F_10/2020,F_11/2020,F_12/2020,ST_07/2020,ST_08/2020,ST_09/2020,ST_10/2020,ST_11/2020,ST_12/2020,ST_start
0,40834,,,2020-07-08,2020-07-08,2.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,2.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
1,40835,,,2020-09-02,2020-10-07,0.0,0.0,4.0,1.0,0.0,0.0,09/2020,2020-07-01,07/2020,,,,4.0,1.0,,,,,0.0,0.0,,,0,0,0,0,0,0,0
2,40839,,,2020-07-21,2020-10-11,28.0,24.0,3.0,5.0,0.0,0.0,07/2020,2020-07-01,07/2020,,28.0,24.0,3.0,5.0,,,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0
3,40840,,,2020-07-23,2020-12-03,90.0,210.0,171.0,14.0,1.0,5.0,07/2020,2020-07-01,07/2020,,90.0,210.0,171.0,14.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,40842,,,2020-07-07,2020-07-31,67.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,67.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
5,40843,2020-09-15,2020-10-21,2020-07-01,2020-12-29,14.0,1.0,9.0,14.0,0.0,10.0,07/2020,2020-07-01,07/2020,09/2020,14.0,1.0,9.0,14.0,,10.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,1,1,1,0
6,40844,,,2020-07-01,2020-07-03,149.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,149.0,,,,,,1.0,,,,,,0,0,0,0,0,0,0
7,40847,,,2020-07-02,2020-07-02,4.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,4.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
8,40849,,,2020-07-01,2020-07-01,17.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,17.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
9,40853,,,2020-07-01,2020-07-01,23.0,0.0,0.0,0.0,0.0,0.0,07/2020,2020-07-01,07/2020,,23.0,,,,,,0.0,,,,,,0,0,0,0,0,0,0
