user_id,recency,frequency,monetary,R,F,M,RFM,,,R,F,M,#,segment,propotion
40843,3,2,562.5,4,1,1,411,,,"Recently active
(4)","> 50
(4)",S, 77 ,Loyal User,13%
40861,30,15,599.3975904,3,2,1,321,,,,,M, -   ,,
41003,12,15,4047.297297,4,2,1,421,,,,,L, -   ,,
41014,26,5,3651.376147,3,1,1,311,,,,"> 25
(3)",S, 259 ,,
41057,6,23,981.9672131,4,2,1,421,,,,,M, -   ,,
41094,25,16,583.5777126,3,2,1,321,,,,,L, -   ,,
41133,1,74,337.0849747,4,4,1,441,,,,"> 10
(2)",S, 536 ,Potential Loyalists,20%
41280,50,2,310.3448276,3,1,1,311,,,,,M, -   ,,
41354,160,7,428.5714286,1,1,1,111,,,,,L, -   ,,
41452,105,2,8291.666667,1,1,1,111,,,,"< 10
(1)",S, 631 ,New User,31%
41485,0,0,318000,4,1,2,412,,,,,M, 142 ,,
41538,5,16,1320.10582,4,2,1,421,,,,,L, 39 ,,
41539,3,12,1197.324415,4,2,1,421,,,"Active
(3)","> 50
(4)",S, 5 ,Loyal User,1%
41599,174,2,372500,1,1,2,112,,,,,M, -   ,,
41602,3,45,533.3926981,4,3,1,431,,,,,L, -   ,,
41655,2,13,1380.952381,4,2,1,421,,,,"> 25
(3)",S, 27 ,,
41728,15,11,1394.736842,4,2,1,421,,,,,M, -   ,,
41889,93,6,3741.37931,1,1,1,111,,,,,L, -   ,,
41905,1,13,506.3694268,4,2,1,421,,,,"> 10
(2)",S, 124 ,Potential Loyalists,5%
41955,1,4,517.2413793,4,1,1,411,,,,,M, -   ,,
41966,69,6,7216.86747,2,1,1,211,,,,,L, -   ,,
41984,41,5,5750,3,1,1,311,,,,"< 10
(1)",S, 311 ,New User,12%
41989,99,21,1859.813084,1,2,1,121,,,,,M, 7 ,,
42006,47,5,5483.516484,3,1,1,311,,,,,L, 1 ,,
42058,80,3,1000,2,1,1,211,,,"Sleep
(2)","> 50
(4)",S, 1 ,Cant'lose them,3%
42062,1,51,176.4705882,4,4,1,441,,,,,M, -   ,,
42130,115,9,121.6216216,1,1,1,111,,,,,L, -   ,,
42274,147,11,264.7058824,1,2,1,121,,,,"> 25
(3)",S, 13 ,,
42293,10,1,7407.407407,4,1,1,411,,,,,M, -   ,,
42314,0,0,599000,4,1,3,413,,,,,L, -   ,,
