user_id,recency,frequency,monetary,R,F,M,RFM_Score,Segment
40843,3,2,1038.461538,4,1,1,411,"Low Spenders, Less Active"
40861,30,15,9045.454545,3,2,1,321,"Low Spenders, Less Active"
41003,12,15,59900,4,2,1,421,"Low Spenders, Less Active"
41014,26,5,18090.90909,3,1,1,311,"Low Spenders, Less Active"
41057,6,23,23038.46154,4,2,1,421,"Low Spenders, Less Active"
41094,25,16,9476.190476,3,2,1,321,"Low Spenders, Less Active"
41133,1,74,24958.33333,4,4,1,441,"Low Spenders, Most Active"
41280,50,2,529.4117647,3,1,1,311,"Low Spenders, Less Active"
41354,160,7,3000,1,1,1,111,Lost Cheap User
41452,105,2,18090.90909,1,1,1,111,Lost Cheap User
41485,0,0,318000,4,1,3,413,"High Spenders, Less Active"
41538,5,16,20791.66667,4,2,1,421,"Low Spenders, Less Active"
41539,3,12,14320,4,2,1,421,"Low Spenders, Less Active"
41599,174,2,745000,1,1,4,114,"Big Spenders, Less active"
41602,3,45,23960,4,3,1,431,"Low Spenders, Most Active"
41655,2,13,17400,4,2,1,421,"Low Spenders, Less Active"
41728,15,11,15142.85714,4,2,1,421,"Low Spenders, Less Active"
41889,93,6,21700,1,1,1,111,Lost Cheap User
41905,1,13,6360,4,2,1,421,"Low Spenders, Less Active"
41955,1,4,1875,4,1,1,411,"Low Spenders, Less Active"
41966,69,6,39933.33333,2,1,1,211,"Low Spenders, Less Active"
41984,41,5,29052.63158,3,1,1,311,"Low Spenders, Less Active"
41989,99,21,39800,1,2,1,121,"Low Spenders, Less Active"
42006,47,5,27722.22222,3,1,1,311,"Low Spenders, Less Active"
42058,80,3,3461.538462,2,1,1,211,"Low Spenders, Less Active"
42062,1,51,9000,4,4,1,441,"Low Spenders, Most Active"
42130,115,9,1125,1,2,1,121,"Low Spenders, Less Active"
42274,147,11,3000,1,2,1,121,"Low Spenders, Less Active"
42293,10,1,9090.909091,4,1,1,411,"Low Spenders, Less Active"
42314,0,0,599000,4,1,4,414,Big Spenders
42331,52,7,529.4117647,2,1,1,211,"Low Spenders, Less Active"
42333,106,13,22111.11111,1,2,1,121,"Low Spenders, Less Active"
42413,75,15,692.3076923,2,2,1,221,"Low Spenders, Less Active"
42434,165,1,499000,1,1,4,114,"Big Spenders, Less active"
42457,1,4,8291.666667,4,1,1,411,"Low Spenders, Less Active"
42460,128,12,66333.33333,1,2,1,121,"Low Spenders, Less Active"
42462,52,7,21750,2,1,1,211,"Low Spenders, Less Active"
42470,83,2,30666.66667,2,1,1,211,"Low Spenders, Less Active"
42481,79,1,750,2,1,1,211,"Low Spenders, Less Active"
42663,102,5,66555.55556,1,1,1,111,Lost Cheap User
42726,50,4,562.5,3,1,1,311,"Low Spenders, Less Active"
42747,132,7,1800,1,1,1,111,Lost Cheap User
42772,2,25,26826.08696,4,3,1,431,"Low Spenders, Most Active"
42943,2,9,17304.34783,4,2,1,421,"Low Spenders, Less Active"
42964,18,14,29950,4,2,1,421,"Low Spenders, Less Active"
42985,138,12,3000,1,2,1,121,"Low Spenders, Less Active"
42988,6,4,9045.454545,4,1,1,411,"Low Spenders, Less Active"
42999,11,16,23761.90476,4,2,1,421,"Low Spenders, Less Active"
43021,135,5,2250,1,1,1,111,Lost Cheap User
43093,126,15,49750,1,2,1,121,"Low Spenders, Less Active"
43095,13,4,15142.85714,4,1,1,411,"Low Spenders, Less Active"
43122,1,38,27227.27273,4,3,1,431,"Low Spenders, Most Active"
43156,119,5,9000,1,1,1,111,Lost Cheap User
43197,36,1,49916.66667,3,1,1,311,"Low Spenders, Less Active"
43221,134,18,3000,1,2,1,121,"Low Spenders, Less Active"
43278,138,2,99500,1,1,2,112,Lost Cheap User
43316,0,0,69000,4,1,1,411,"Low Spenders, Less Active"
43351,9,20,75950,4,2,2,422,"Low Spenders, Less Active"
43438,109,1,79500,1,1,2,112,Lost Cheap User
43440,0,0,508000,4,1,4,414,Big Spenders
43444,0,0,1198000,4,1,4,414,Big Spenders
43447,112,4,41250,1,1,1,111,Lost Cheap User
43491,79,2,99833.33333,2,1,2,212,"Low Spenders, Less Active"
43494,92,13,199000,1,2,3,123,"High Spenders, Less Active"
43498,2,16,23761.90476,4,2,1,421,"Low Spenders, Less Active"
43523,110,22,3000,1,2,1,121,"Low Spenders, Less Active"
43543,35,3,12437.5,3,1,1,311,"Low Spenders, Less Active"
43556,2,12,18952.38095,4,2,1,421,"Low Spenders, Less Active"
43583,42,6,26533.33333,3,1,1,311,"Low Spenders, Less Active"
43619,146,9,9000,1,2,1,121,"Low Spenders, Less Active"
43708,44,16,10600,3,2,1,321,"Low Spenders, Less Active"
43730,1,13,28523.80952,4,2,1,421,"Low Spenders, Less Active"
43753,11,6,57789.47368,4,1,1,411,"Low Spenders, Less Active"
43756,48,3,42785.71429,3,1,1,311,"Low Spenders, Less Active"
43882,113,9,39750,1,2,1,121,"Low Spenders, Less Active"
43924,143,1,199000,1,1,3,113,"High Spenders, Less Active"
43935,73,6,20800,2,1,1,211,"Low Spenders, Less Active"
43941,30,3,12437.5,3,1,1,311,"Low Spenders, Less Active"
43945,10,1,18157.89474,4,1,1,411,"Low Spenders, Less Active"
43948,37,4,24875,3,1,1,311,"Low Spenders, Less Active"
43999,2,45,19900,4,3,1,431,"Low Spenders, Most Active"
44051,48,9,1285.714286,3,2,1,321,"Low Spenders, Less Active"
44095,138,3,9000,1,1,1,111,Lost Cheap User
44112,1,3,428.5714286,4,1,1,411,"Low Spenders, Less Active"
44218,16,3,11055.55556,4,1,1,411,"Low Spenders, Less Active"
44229,121,68,115000,1,4,2,142,"Low Spenders, Most Active"
44289,1,31,19900,4,3,1,431,"Low Spenders, Most Active"
44329,128,2,9000,1,1,1,111,Lost Cheap User
44399,2,8,12055.55556,4,1,1,411,"Low Spenders, Less Active"
44414,118,12,18000,1,2,1,121,"Low Spenders, Less Active"
44500,2,6,9950,4,1,1,411,"Low Spenders, Less Active"
44513,139,2,9000,1,1,1,111,Lost Cheap User
44530,42,4,11285.71429,3,1,1,311,"Low Spenders, Less Active"
44592,49,3,692.3076923,3,1,1,311,"Low Spenders, Less Active"
44595,117,6,299500,1,1,3,113,"High Spenders, Less Active"
44626,119,7,3000,1,1,1,111,Lost Cheap User
44644,17,15,35764.70588,4,2,1,421,"Low Spenders, Less Active"
44673,133,8,9000,1,1,1,111,Lost Cheap User
44684,54,20,3461.538462,2,2,1,221,"Low Spenders, Less Active"
44758,31,29,1125,3,3,1,331,"Low Spenders, Most Active"
44822,45,5,14857.14286,3,1,1,311,"Low Spenders, Less Active"
44846,63,12,54454.54545,2,2,1,221,"Low Spenders, Less Active"
44868,13,19,30222.22222,4,2,1,421,"Low Spenders, Less Active"
44881,5,7,22111.11111,4,1,1,411,"Low Spenders, Less Active"
44884,126,10,99500,1,2,2,122,"Low Spenders, Less Active"
44889,1,38,17900,4,3,1,431,"Low Spenders, Most Active"
44951,4,2,31526.31579,4,1,1,411,"Low Spenders, Less Active"
44980,45,3,1285.714286,3,1,1,311,"Low Spenders, Less Active"
45002,138,2,9000,1,1,1,111,Lost Cheap User
45012,0,0,345000,4,1,3,413,"High Spenders, Less Active"
